TableSize
28
CRNum	1100	1101	1127	1128	1105	1102	1103	1126	1125	1107	1152	1109	1112	1106	1108	1123	1136	1137	1151	1131	1146	1147	1148	1149	1150	1117	1144	;
2.84	1900	36	82	14	13.0	29	1.14	11.2	1.7	2	0.0	0	40	215	27.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.95	2200	108	82	14	12.8	68	1.14	11.9	6.7	12	0.0	0	40	420	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.05	2600	86	82	14	12.9	20	1.14	11.8	5.3	11	0.0	0	40	325	20.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.16	2500	43	82	14	12.7	20	1.14	10.3	1.9	4	0.0	0	40	225	32.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.23	2400	42	82	14	13.0	35	1.14	10.6	7.0	14	0.0	0	40	220	32.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.31	2800	88	80	14	13.0	40	1.15	11.6	5.8	12	0.0	0	40	325	20.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.42	2900	100	82	14	12.9	44	1.14	11.5	6.4	15	0.0	0	40	430	15.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.52	2800	105	82	14	12.7	46	1.14	10.4	6.6	15	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.59	2600	110	80	14	12.8	47	1.14	10.2	7.0	15	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.69	2800	111	82	14	12.9	49	1.14	10.2	7.0	16	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.78	2700	116	82	14	13.0	51	1.14	10.0	7.3	16	0.0	0	40	425	13.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.89	2800	117	82	14	13.0	53	1.15	9.9	7.3	17	0.0	0	40	425	13.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
3.98	2800	121	82	14	12.7	53	1.14	9.9	7.0	16	0.0	0	40	525	11.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.06	2800	123	80	14	12.9	54	1.14	9.9	7.1	16	0.0	0	40	525	11.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.17	2800	123	80	14	12.7	54	1.13	10.2	6.8	16	0.0	0	40	525	11.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.25	2900	127	80	14	13.0	56	1.14	10.5	6.8	16	0.0	0	40	525	11.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.34	2900	129	82	14	12.8	57	1.13	10.8	6.9	17	0.0	0	40	525	10.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.45	2900	131	80	14	12.7	58	1.14	10.8	7.0	17	0.0	0	40	525	10.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.53	3000	134	80	14	13.0	59	1.14	11.0	7.1	17	0.0	0	40	530	10.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.61	3000	135	80	14	12.9	57	1.14	11.0	7.1	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.72	3000	138	80	14	12.9	58	1.14	11.0	7.3	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.81	3000	139	80	14	13.0	57	1.14	11.1	7.3	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
4.92	3100	140	80	14	12.8	58	1.12	10.9	7.4	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.00	3100	140	80	14	13.0	58	1.15	11.0	7.4	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.08	3100	140	80	14	12.7	58	1.14	11.0	7.4	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.19	3200	143	80	14	12.9	58	1.14	11.1	7.6	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.26	3200	142	80	14	12.7	57	1.15	11.1	7.5	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.34	3200	143	80	14	12.8	58	1.14	11.0	7.7	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.42	3200	144	80	14	12.9	58	1.14	10.9	7.6	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.50	3200	143	80	14	12.8	58	1.14	10.9	7.6	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.59	3300	144	80	14	12.8	58	1.14	11.0	7.7	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.69	3300	144	80	14	12.9	58	1.15	11.0	7.7	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.76	3400	146	80	14	13.0	58	1.14	11.0	7.8	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.84	3400	146	80	14	12.7	58	1.14	10.8	7.8	21	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
5.95	3400	145	80	14	12.9	58	1.14	10.8	7.7	22	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
6.03	3400	147	80	14	12.9	58	1.13	10.8	7.8	22	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
6.11	3500	145	80	14	12.9	58	1.14	10.9	7.7	22	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
6.22	3500	147	80	14	12.7	58	1.13	10.8	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
6.30	3500	147	80	14	12.9	58	1.15	11.0	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
6.41	3600	147	80	14	12.8	58	1.14	11.0	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.48	3500	147	80	14	12.8	58	1.14	11.0	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.58	3600	147	80	14	12.8	58	1.14	11.0	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.69	3600	147	80	14	12.8	58	1.14	10.9	7.8	24	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.76	3700	147	80	14	12.9	58	1.14	11.0	7.8	23	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.84	3600	147	80	14	12.9	58	1.15	11.0	7.8	24	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
6.92	3700	148	80	14	12.7	57	1.13	10.9	7.9	24	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.01	3800	147	80	14	12.8	58	1.14	10.9	7.8	24	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.09	3700	148	80	14	13.0	58	1.14	10.9	7.9	25	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.20	3800	147	80	14	12.8	59	1.14	10.8	7.8	25	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.28	3800	148	80	14	12.7	59	1.13	10.8	7.9	25	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.38	3800	148	80	14	13.0	59	1.14	10.9	7.9	25	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.45	3900	147	80	14	12.7	57	1.14	10.8	7.8	25	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
7.53	3900	132	80	14	12.7	30	1.14	10.9	7.0	22	0.0	0	40	535	9.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Closed	I	;
7.61	3700	69	80	14	12.9	20	1.14	10.5	2.6	10	0.0	0	40	235	30.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Closed	I	;
7.72	3600	37	80	14	13.0	20	1.15	11.4	1.7	5	0.0	0	40	235	33.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Closed	I	;
7.80	3500	28	80	14	12.9	20	1.14	11.6	0.0	3	0.0	0	40	135	34.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
7.89	3300	23	80	14	12.9	20	1.13	11.1	0.0	0	0.0	0	40	130	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.00	3200	20	80	14	13.0	20	1.15	11.1	0.0	0	0.0	0	40	130	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.08	3100	18	80	14	12.9	20	1.15	11.6	0.0	0	0.0	0	40	130	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.16	3100	16	80	14	12.8	20	1.14	11.6	0.0	0	0.0	0	40	130	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.25	3000	15	80	14	12.9	20	1.14	12.2	0.0	0	0.0	0	40	130	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.34	2800	13	80	14	12.7	20	1.12	11.5	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Closed	I	;
8.42	2700	15	80	14	12.8	20	1.14	11.3	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	On	Active	Off	Off	=	Open	I	;
8.52	2700	34	80	14	12.8	31	1.14	11.7	1.7	3	0.0	0	40	225	33.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
8.59	2800	73	80	14	13.0	42	1.14	12.5	4.8	9	0.0	0	40	325	20.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
8.69	2700	96	80	14	13.1	42	1.14	12.4	5.4	12	0.0	0	40	425	16.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
8.80	2800	100	80	14	12.9	44	1.14	12.2	5.6	12	0.0	0	40	425	15.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
8.88	2800	101	80	14	12.7	44	1.13	12.7	5.6	13	0.0	0	40	425	15.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
8.97	2800	105	80	14	12.8	44	1.14	12.2	5.8	13	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.03	2800	107	80	14	12.9	44	1.14	11.9	5.9	14	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.11	2800	108	80	14	13.0	44	1.14	11.9	6.0	14	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.22	2800	109	80	14	12.7	44	1.14	11.7	6.0	13	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.30	2800	112	80	14	12.9	44	1.14	11.6	6.1	14	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.39	2800	115	80	14	13.0	44	1.14	11.7	6.1	14	0.0	0	40	425	13.0	2	Off	Off	Active	Off	Off	On	Off	Off	Off	=	Open	I	;
9.50	2800	117	80	14	12.8	44	1.14	11.5	6.2	14	0.0	0	40	425	13.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
9.58	2800	118	80	14	12.9	44	1.14	11.6	6.3	14	0.0	0	40	425	13.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
9.66	2800	119	80	14	12.7	45	1.13	11.7	6.3	15	0.0	0	40	425	13.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
9.75	2900	123	80	14	12.8	45	1.14	11.7	6.5	15	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	On	Off	Off	Off	=	Open	I	;
9.83	2900	122	80	14	12.9	46	1.15	11.7	6.4	15	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
9.91	2900	124	80	14	12.8	44	1.14	11.7	6.5	16	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.00	2900	125	80	14	12.8	45	1.13	11.5	6.6	16	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.08	2900	127	80	14	12.9	45	1.14	11.5	6.7	16	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.16	2900	126	80	14	12.7	45	1.13	11.3	6.6	16	0.0	0	40	525	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.25	2900	128	80	14	12.9	45	1.14	11.3	6.8	16	0.0	0	40	525	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.34	2900	130	80	14	13.0	45	1.14	11.3	6.9	17	0.0	0	40	525	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.45	2900	131	80	14	12.9	44	1.14	11.3	6.9	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.53	3000	130	80	14	12.6	45	1.14	11.3	6.9	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.61	3000	131	80	14	12.7	45	1.13	11.1	6.9	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.70	3000	132	80	14	13.0	45	1.15	11.3	7.0	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.78	3000	134	80	14	13.0	46	1.15	11.4	7.1	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.88	3000	134	80	14	13.0	45	1.15	11.4	7.1	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
10.98	3000	135	80	14	13.0	45	1.15	11.4	7.1	17	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.06	3000	134	80	14	12.9	46	1.14	11.3	7.1	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.14	3100	137	82	14	13.0	46	1.14	11.4	7.1	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.25	3100	136	80	14	12.7	46	1.13	11.2	7.1	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.34	3100	135	80	14	12.7	46	1.14	11.2	7.2	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.42	3100	137	80	14	13.0	46	1.13	11.2	7.2	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.52	3100	136	82	14	12.9	46	1.14	11.1	7.2	18	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.59	3100	138	82	14	12.8	47	1.12	11.1	7.3	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.69	3200	140	82	14	12.8	51	1.14	11.3	7.4	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.78	3200	142	82	14	12.8	52	1.14	11.3	7.5	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.84	3200	142	82	14	12.9	52	1.14	11.2	7.5	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
11.94	3200	142	82	14	12.7	53	1.13	11.2	7.6	19	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.03	3200	144	82	14	12.9	52	1.14	11.4	7.7	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.11	3200	143	82	14	13.0	52	1.15	11.3	7.6	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.19	3200	142	82	14	12.9	52	1.14	11.2	7.6	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.30	3200	142	82	14	12.7	52	1.14	11.1	7.7	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.38	3200	143	82	14	12.7	52	1.14	11.1	7.6	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.45	3300	142	82	14	12.8	52	1.14	11.2	7.6	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.55	3300	142	82	14	12.8	50	1.14	11.2	7.5	20	0.0	0	40	530	10.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
12.63	3300	139	82	14	12.9	29	1.14	11.0	6.7	20	0.0	0	40	530	11.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.70	3200	75	82	14	12.9	20	1.14	11.0	3.9	10	0.0	0	40	330	24.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.80	3100	42	82	14	13.0	20	1.14	10.6	2.0	5	0.0	0	40	230	32.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.88	3000	33	82	14	13.0	20	1.15	11.6	1.6	3	0.0	0	40	230	33.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.95	2900	26	82	14	12.9	20	1.14	11.7	0.0	0	0.0	0	40	125	34.0	2	Off	Off	Off	Off	Off	Off	Active	Off	Off	=	Closed	I	;
13.06	2800	22	82	14	12.7	20	1.14	11.5	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	Off	Active	Off	Off	=	Closed	I	;
13.16	2700	18	82	14	13.0	20	1.14	11.6	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	Off	Active	Off	Off	=	Closed	I	;
13.27	2600	16	82	14	12.9	20	1.14	11.7	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	Off	Active	Off	Off	=	Closed	I	;
13.34	2600	15	82	14	12.9	20	1.14	11.5	0.0	0	0.0	0	40	125	35.0	2	Off	Off	Off	Off	Off	Off	Active	Off	Off	=	Closed	I	;
13.42	2600	20	82	14	12.8	26	1.14	11.5	1.1	0	0.0	0	40	125	35.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.52	2700	71	82	14	13.1	36	1.15	11.3	3.8	5	0.0	0	40	325	24.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.61	2700	89	82	14	12.7	36	1.14	11.8	4.8	10	0.0	0	40	325	19.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.69	2600	92	82	14	13.0	37	1.15	11.4	5.1	10	0.0	0	40	425	17.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.78	2700	98	82	14	13.0	40	1.14	11.9	5.5	11	0.0	0	40	425	16.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.86	2700	101	82	14	13.0	40	1.14	11.9	5.6	12	0.0	0	40	425	15.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
13.95	2600	104	82	14	13.0	41	1.14	11.6	5.8	12	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
14.06	2600	106	82	14	12.9	40	1.14	11.2	5.9	13	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
14.14	2700	106	82	14	12.8	39	1.14	11.0	5.7	12	0.0	0	40	425	14.0	2	Off	Off	Active	Off	Off	Off	Off	Off	Off	=	Open	I	;
