TableSize
28
CRNum	1100	1101	1127	1128	1105	1102	1103	1126	1125	1107	1152	1109	1112	1106	1108	1123	1136	1137	1151	1131	1146	1147	1148	1149	1150	1117	1144	;
1.09	800	31	80	14	13.0	20	0.34	14.4	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.17	800	31	80	14	13.0	20	0.35	14.4	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.27	800	31	80	14	13.0	20	0.53	14.0	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.34	800	31	80	14	13.0	20	0.52	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.42	800	33	80	14	13.0	20	0.95	13.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.52	800	32	80	14	13.0	20	0.95	13.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.70	800	33	80	14	12.7	20	0.61	14.4	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.80	800	33	80	14	12.7	20	0.61	14.5	1.7	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.88	900	33	80	14	12.9	20	0.26	14.4	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
1.97	900	32	80	14	12.7	20	0.28	14.3	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.06	900	32	80	14	12.8	20	0.53	14.3	1.6	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.14	900	31	80	14	12.9	20	0.53	13.8	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.22	900	31	80	14	13.0	20	1.14	13.2	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.31	900	30	80	14	13.0	20	1.14	12.8	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.39	900	30	80	14	13.1	20	1.14	12.4	1.5	0	0.0	0	40	210	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.48	900	30	80	14	12.8	20	1.15	12.4	1.5	1	0.0	0	40	210	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.56	900	30	80	14	12.9	20	1.14	12.4	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.64	900	29	80	14	13.0	20	1.14	12.4	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.72	900	29	80	14	13.0	20	1.14	12.5	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.81	900	29	80	14	13.1	20	1.15	12.5	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.91	900	30	80	14	13.1	20	1.15	13.4	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.98	800	30	80	14	13.0	20	1.14	13.5	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.08	900	30	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.16	900	30	80	14	13.1	20	1.15	13.9	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.23	900	30	80	14	13.0	20	1.05	13.8	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.34	900	31	80	14	13.1	20	0.89	14.0	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.42	900	30	80	14	13.0	20	0.89	14.3	1.4	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.53	900	31	80	14	13.0	20	0.57	14.2	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.61	900	31	80	14	13.0	20	0.57	14.2	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.69	900	31	80	14	13.0	20	0.79	13.9	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.80	900	31	80	14	13.1	20	0.80	13.8	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.88	900	31	80	14	13.0	20	1.05	13.9	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
3.97	900	31	80	14	13.0	20	1.05	13.9	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.05	800	31	80	14	13.1	20	0.95	14.0	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.14	800	31	80	14	13.1	20	0.95	14.0	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.23	800	30	80	14	13.0	20	0.83	14.0	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.33	800	31	80	14	13.0	20	0.87	13.9	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.41	800	31	80	14	13.0	20	0.87	14.6	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.48	800	33	80	14	13.0	20	0.15	14.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.58	800	32	80	14	13.0	20	0.16	14.9	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.66	800	32	80	14	13.0	20	0.12	14.8	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.75	900	32	80	14	13.0	20	0.12	15.1	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.84	900	31	80	14	13.0	20	0.12	14.9	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
4.92	900	31	80	14	13.0	20	0.12	15.0	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.03	800	31	80	14	13.0	20	0.12	14.1	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.13	800	33	80	14	12.8	20	0.12	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.20	800	33	80	14	12.7	20	0.76	14.0	1.7	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.30	800	33	80	14	13.1	20	0.76	14.1	1.7	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.38	900	33	80	14	13.0	20	0.72	14.1	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.47	900	33	80	14	13.0	20	0.69	14.1	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.58	900	32	80	14	13.0	20	0.69	14.2	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.67	900	32	80	14	12.7	20	0.70	13.6	1.6	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.78	900	31	80	14	13.0	20	0.70	13.3	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.86	900	30	80	14	13.0	20	1.14	12.9	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
5.94	900	30	80	14	13.0	20	1.14	12.7	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.03	900	30	80	14	12.7	20	1.13	12.7	1.5	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.13	900	30	80	14	12.9	20	1.14	12.7	1.5	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.22	900	29	80	14	13.0	20	1.15	13.0	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.33	900	29	80	14	13.0	20	1.15	13.1	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.41	900	29	80	14	13.1	20	1.15	13.5	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.48	900	29	80	14	13.0	20	1.14	13.7	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.59	900	31	80	14	12.9	20	1.13	13.1	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.69	900	30	80	14	12.6	20	1.14	13.0	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.80	900	31	80	14	12.8	20	1.14	13.2	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.88	900	30	80	14	12.9	20	1.14	13.3	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
6.95	900	31	80	14	13.0	20	1.14	13.3	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.06	900	31	80	14	13.0	20	1.14	13.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.14	900	31	80	14	13.0	20	1.14	13.6	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.22	900	31	80	14	13.0	20	1.15	13.5	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.31	900	31	80	14	13.0	20	1.15	13.6	1.4	1	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.41	900	30	80	14	13.0	20	1.14	13.5	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.48	900	30	80	14	13.0	20	1.15	13.4	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.59	900	30	80	14	13.0	20	1.15	13.6	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.67	900	30	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.75	900	30	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.86	900	30	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
7.95	900	30	80	14	13.0	20	1.11	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.19	900	31	80	14	12.7	20	0.96	13.9	1.6	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.27	900	31	80	14	12.9	20	0.93	13.9	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.36	900	30	80	14	12.9	20	0.93	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.44	900	30	80	14	13.0	20	1.13	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.52	900	31	80	14	13.0	20	1.13	13.8	1.4	1	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.61	900	30	80	14	13.0	20	1.14	13.3	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.69	900	30	80	14	13.0	20	1.14	13.6	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.77	900	30	80	14	13.1	20	1.14	13.5	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.86	900	30	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
8.94	900	31	80	14	13.0	20	1.09	13.8	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.03	900	31	80	14	12.7	20	1.08	13.7	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.13	900	31	80	14	12.8	20	1.14	13.6	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.20	900	31	80	14	12.8	20	1.14	13.6	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.31	900	31	80	14	12.8	20	1.14	13.7	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.39	900	31	80	14	12.8	20	1.14	13.7	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.47	900	31	80	14	12.9	20	1.14	13.7	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.58	800	31	80	14	12.9	20	0.95	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.67	800	32	80	14	12.8	20	0.95	14.2	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.75	800	32	80	14	12.7	20	0.58	14.2	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.84	900	32	80	14	12.7	20	0.58	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
9.92	800	32	80	14	12.9	20	0.97	13.8	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.00	800	32	80	14	13.0	20	0.96	13.9	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.09	800	32	80	14	13.1	20	0.73	14.2	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.19	900	31	80	14	13.1	20	0.73	14.3	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.27	900	31	80	14	13.1	20	0.49	14.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.36	900	32	80	14	13.0	20	0.49	14.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.44	900	31	80	14	13.0	20	0.49	13.8	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.52	900	32	80	14	13.1	20	0.49	13.5	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.61	900	32	80	14	12.7	20	1.14	13.4	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.69	900	31	80	14	12.7	20	1.14	13.5	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.77	900	31	80	14	12.8	20	1.14	13.3	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.86	900	31	80	14	12.9	20	1.14	13.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
10.94	900	31	80	14	12.9	20	1.14	13.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.02	900	31	80	14	13.0	20	1.14	13.5	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.11	800	31	80	14	13.0	20	1.14	13.4	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.22	900	31	80	14	13.0	20	1.14	13.4	1.5	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.30	900	31	80	14	13.0	20	1.14	13.5	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.41	800	31	80	14	13.0	20	1.14	13.8	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.48	800	32	80	14	12.9	20	1.14	13.8	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.59	800	32	80	14	12.8	20	0.76	14.1	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.67	800	33	80	14	12.7	20	0.76	14.1	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.75	800	33	80	14	13.1	20	0.72	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.83	800	32	80	14	13.0	20	0.72	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
11.92	900	32	80	14	13.0	20	0.81	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.00	900	32	80	14	13.1	20	0.81	14.2	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.09	900	32	80	14	13.0	20	0.75	14.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.17	900	32	80	14	13.1	20	0.75	13.8	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.27	900	32	80	14	13.0	20	0.90	13.5	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.38	900	31	80	14	13.1	20	1.14	13.5	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.47	900	31	80	14	13.0	20	1.14	13.4	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.58	900	31	80	14	13.0	20	1.14	13.5	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.66	800	31	80	14	13.0	20	1.14	13.6	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.73	800	31	80	14	13.0	20	1.14	13.7	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.83	800	32	80	14	13.0	20	1.15	13.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.89	800	32	80	14	12.9	20	1.14	13.6	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
12.97	800	33	80	14	12.9	20	1.14	13.6	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.05	800	33	80	14	12.8	20	1.14	13.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.14	900	33	80	14	12.8	20	1.14	13.7	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.22	900	32	80	14	12.8	20	1.13	14.1	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.30	900	32	80	14	12.9	20	1.13	14.1	1.6	1	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.39	900	31	80	14	13.0	20	0.72	13.9	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.47	900	31	80	14	13.0	20	0.72	13.3	1.5	1	0.0	0	40	205	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.55	900	30	80	14	13.0	20	1.14	13.0	1.4	0	0.0	0	40	205	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.64	1000	31	80	14	13.0	20	1.14	12.7	1.6	1	0.0	0	40	210	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.72	1000	30	80	14	12.9	20	1.14	12.6	1.5	1	0.0	0	40	210	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.80	1000	29	80	14	13.0	20	1.14	12.6	1.4	1	0.0	0	40	110	15.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.89	1000	28	80	14	13.0	20	1.14	12.7	1.4	0	0.0	0	40	110	15.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
13.97	900	29	80	14	12.7	20	1.14	12.9	1.4	0	0.0	0	40	105	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
14.05	800	31	80	14	12.7	20	1.14	13.0	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
14.14	800	32	80	14	13.0	20	1.14	13.2	1.6	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
14.22	800	31	80	14	13.1	20	1.14	13.5	1.5	0	0.0	0	40	205	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
